"","adj.P.Val"
"BC006325",0.00037464185408008
"AX772804",0.000379952393130365
"BC093910",0.00038154021161654
"BC053676",0.00038154021161654
"BC010458",0.000383950694224747
"BC007606",0.000383950694224747
"NM_001060",0.000383950694224747
"NM_002391",0.000396792329589804
"BC000705",0.000396792329589804
"BC105086",0.000396792329589804
"BC106945",0.000396792329589804
"BC031101",0.000420188635214254
"BC069383",0.000423281665312598
"NM_003122",0.000423281665312598
"NM_170775",0.000426620655131697
"BC027911",0.000436280480889585
"XM_935476",0.000436280480889585
"BC110295",0.000447615250104146
"NM_002005",0.000474873441772893
"NM_080668",0.000499612557608981
"BC009279",0.000499612557608981
"NM_207418",0.000501590896106565
"AB046826",0.000501590896106565
"NM_152463",0.000501590896106565
"BC044886",0.000501590896106565
"NM_031966",0.000505556392485781
"BC032142",0.000505556392485781
"NM_024041",0.000505556392485781
"NM_018410",0.000506073029258316
"NM_016426",0.000506073029258316
"BC065284",0.000506445397862776
"XM_931790",0.000508231622151257
"NM_000229",0.000508231622151257
"NM_001039792",0.000508231622151257
"NM_198948",0.000509551276480623
"NM_005192",0.000509551276480623
"NM_017577",0.000509551276480623
"BC005362",0.000509551276480623
"NM_198492",0.00050989994645269
"NM_080829",0.000515273203160424
"NM_001002876",0.000526667373858634
"BC113862",0.000530473485370482
"XM_927026",0.000533432195063208
"BC016475",0.000549356343023472
"NM_173852",0.00055259957088567
"XM_495907",0.00055259957088567
"XM_929861",0.00055259957088567
"BX538104",0.00056287391447576
"BC029806",0.00056287391447576
"NM_000049",0.000563671187941341
"NM_001012270",0.000563671187941341
"AY335491",0.000563671187941341
"NM_001012507",0.000563671187941341
"NM_032793",0.000564860539777706
"BC012032",0.000566637012457272
"NM_152470",0.000567638021470179
"NM_001882",0.000569315477356638
"NM_001008493",0.000569315477356638
"BC068445",0.000569315477356638
"NM_001009552",0.000569315477356638
"NM_006770",0.000581114663156983
"XM_926832",0.000616436196048143
"BC075828",0.000623056934444693
"NM_005476",0.000646272259401785
"NM_016535",0.000646272259401785
"BC025790",0.000650690229474284
"XM_375500",0.000664772240643666
"BC015770",0.000668735384520239
"AF111708",0.000679932254738155
"NM_176782",0.000686149054089904
"NM_001024024",0.000688821371974298
"AY513657",0.000703269763581048
"NM_145290",0.00070685757136178
"AJ245377",0.000723363336838854
"NM_001018041",0.000739928529553978
"BC034608",0.000744714513233924
"NM_022568",0.00074650808055436
"BC011704",0.00074650808055436
"AK000388",0.00074650808055436
"BX161467",0.00074650808055436
"BC035972",0.000750012568744091
"NM_004701",0.000750012568744091
"NM_014039",0.000750012568744091
"NM_004615",0.000756379184379008
"AY157577",0.000763524437097246
"NM_001002810",0.000764322506048221
"XM_935203",0.000770657783193109
"XM_929884",0.000770657783193109
"BC029554",0.000770657783193109
"NM_032117",0.000787150016476827
"BC043502",0.000787150016476827
"BC050640",0.000787150016476827
"XM_931817",0.000787609114766341
"NM_003829",0.000788351523209824
"NM_013282",0.000791082466218664
"NM_013266",0.00079811027461918
